IPN,MPN,Description,Manufacturer,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet,Voltage Rating (AC),Series,Package/Case,Length,Width,Height,Mounting Type,Polarization,Lead Spacing
CAP-1001-0001,FKP2O100331D00KSSD,CAP FILM PP WIMA FKP2 33p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,33p,1000V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,250V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0002,FKP2O100471D00KSSD,CAP FILM PP WIMA FKP2 47p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,47p,1000V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,250V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0003,FKP2O100681D00KSSD,CAP FILM PP WIMA FKP2 68p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,68p,1000V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,250V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0004,FKP2G001001D00KSSD,CAP FILM PP WIMA FKP2 100p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,100p,63V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0005,FKP2F001501D00JSSD,CAP FILM PP WIMA FKP2 150p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,150p,63V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0006,FKP2G002201D00KSSD,CAP FILM PP WIMA FKP2 220p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,220p,63V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0007,FKP2F003301D00JSSD,CAP FILM PP WIMA FKP2 330p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,330p,63V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0008,FKP2F003301D00JSSD,CAP FILM PP WIMA FKP2 470p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,470p,63V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0009,FKP2D006801D00KSSD,CAP FILM PP WIMA FKP2 680p,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,680p,63V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
CAP-1001-0010,FKP2F011001D00HSSD,CAP FILM PP WIMA FKP2 1n,Wima,g-cap:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1n,63V,Polypropylene,=+/-20%,https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf,40V,FKP 2,RCT-5,7.2,4.5,6,Through Hole,Bi-Polar,5mm
